model,Integrated survival Brier (hours 1-24),TWF CIF Brier at 24h,HDF CIF Brier at 24h,PWF CIF Brier at 24h,OSF CIF Brier at 24h,RNF CIF Brier at 24h
Competing-risk model,0.1558125497493335,0.21559897686784216,0.09783487252211993,0.07557353738812125,0.11438142182124113,0.02778979522408119
Constant-hazard baseline,0.1885968259409375,0.23440303000993884,0.12093022111657281,0.08081132979882413,0.12478234695940332,0.027851691703263064
