seed,scenario,policy,Mean cost per hour,Mean regret vs oracle,Mean selected hour
42,Default costs,Single-event discrete,101.03214159037813,0.2925790060462672,12.09
42,Default costs,Competing-risk discrete,100.8179733951136,0.07841081078175699,12.354
42,Default costs,Single-event Cox,101.45310670576396,0.7135441214321085,12.354
42,Default costs,Cause-specific Cox,101.14067786353704,0.40111527920520074,12.387
42,Default costs,Same survival + pooled causes,100.83537266908554,0.09581008475368798,12.051
42,Default costs,Fixed 12h,102.69294094027265,1.9533783559408067,12.0
42,Default costs,Fixed 24h,124.37952039200847,23.63995780767663,24.0
42,Equal cause costs,Single-event discrete,95.6645490002863,0.25151901079500233,12.277
42,Equal cause costs,Competing-risk discrete,95.49538660592661,0.08235661643530776,12.213
42,Equal cause costs,Single-event Cox,96.02429293690786,0.6112629474165476,12.54
42,Equal cause costs,Cause-specific Cox,95.70434680077133,0.291316811280026,12.215
42,Equal cause costs,Same survival + pooled causes,95.49538660592661,0.08235661643530776,12.213
42,Equal cause costs,Fixed 12h,96.77604182240341,1.3630118329121166,12.0
42,Equal cause costs,Fixed 24h,120.32831350859932,24.91528351910804,24.0
42,High heat-failure cost,Single-event discrete,154.7799213985738,0.4008973821101534,10.515
42,High heat-failure cost,Competing-risk discrete,154.54951267328255,0.1704886568189057,12.248
42,High heat-failure cost,Single-event Cox,154.82645470032398,0.44743068386031487,10.962
42,High heat-failure cost,Cause-specific Cox,155.35251803271944,0.9734940162557927,12.551
42,High heat-failure cost,Same survival + pooled causes,154.78428062481737,0.4052566083536835,10.515
42,High heat-failure cost,Fixed 12h,156.50728561479238,2.128261598328706,12.0
42,High heat-failure cost,Fixed 24h,179.1580279711772,24.779003954713552,24.0
43,Default costs,Single-event discrete,102.379813878765,0.39544652967889954,11.606
43,Default costs,Competing-risk discrete,102.02631580241464,0.04194845332851641,11.724
43,Default costs,Single-event Cox,102.3930421833736,0.40867483428746526,12.167
43,Default costs,Cause-specific Cox,102.35671786973836,0.3723505206522426,12.192
43,Default costs,Same survival + pooled causes,102.15083058442178,0.16646323533566248,11.425
43,Default costs,Fixed 12h,104.12057111805439,2.136203768968256,12.0
43,Default costs,Fixed 24h,125.47751252029278,23.493145171206653,24.0
43,Equal cause costs,Single-event discrete,96.66360536749922,0.19067313774378689,11.744
43,Equal cause costs,Competing-risk discrete,96.50947601671598,0.03654378696054701,11.539
43,Equal cause costs,Single-event Cox,96.77247607898718,0.29954384923175476,12.261
43,Equal cause costs,Cause-specific Cox,96.76173155557554,0.2887993258200962,12.076
43,Equal cause costs,Same survival + pooled causes,96.50947601671598,0.03654378696054701,11.539
43,Equal cause costs,Fixed 12h,97.9595733155844,1.4866410858289643,12.0
43,Equal cause costs,Fixed 24h,121.12814602664328,24.655213796887868,24.0
43,High heat-failure cost,Single-event discrete,156.7787973750814,0.7856772070486107,10.104
43,High heat-failure cost,Competing-risk discrete,156.04503180374897,0.051911635716160046,11.273
43,High heat-failure cost,Single-event Cox,156.49341376308496,0.5002935950521542,10.706
43,High heat-failure cost,Cause-specific Cox,156.48004748236295,0.486927314330169,11.74
43,High heat-failure cost,Same survival + pooled causes,156.88149320494475,0.8883730369119469,9.883
43,High heat-failure cost,Fixed 12h,158.2865687231083,2.2934485550754893,12.0
43,High heat-failure cost,Fixed 24h,180.59893849563127,24.60581832759846,24.0
44,Default costs,Single-event discrete,99.2911785948212,0.240145147831072,11.981
44,Default costs,Competing-risk discrete,99.12301569119381,0.07198224420366711,12.394
44,Default costs,Single-event Cox,99.29678124924442,0.24574780225427817,12.217
44,Default costs,Cause-specific Cox,99.19847511942798,0.14744167243783182,12.257
44,Default costs,Same survival + pooled causes,99.12096221576344,0.06992876877330685,12.044
44,Default costs,Fixed 12h,100.89242219819565,1.8413887512055023,12.0
44,Default costs,Fixed 24h,122.3900093999136,23.33897595292345,24.0
44,Equal cause costs,Single-event discrete,94.17670482094873,0.19832497789763107,12.119
44,Equal cause costs,Competing-risk discrete,94.04377008110359,0.06539023805249025,12.191
44,Equal cause costs,Single-event Cox,94.27531798121507,0.2969381381639664,12.354
44,Equal cause costs,Cause-specific Cox,94.09539692821654,0.11701708516546276,12.12
44,Equal cause costs,Same survival + pooled causes,94.04377008110359,0.06539023805249025,12.191
44,Equal cause costs,Fixed 12h,95.26172476950914,1.2833449264580594,12.0
44,Equal cause costs,Fixed 24h,118.678853950401,24.700474107349933,24.0
44,High heat-failure cost,Single-event discrete,152.64397772974567,0.45157321719464644,10.479
44,High heat-failure cost,Competing-risk discrete,152.53360073382714,0.34119622127611116,12.229
44,High heat-failure cost,Single-event Cox,152.79328711486892,0.6008826023179149,10.472
44,High heat-failure cost,Cause-specific Cox,152.53487971399022,0.3424752014392112,11.993
44,High heat-failure cost,Same survival + pooled causes,152.60183360225395,0.4094290897029429,10.463
44,High heat-failure cost,Fixed 12h,154.20679405621794,2.0143895436669155,12.0
44,High heat-failure cost,Fixed 24h,176.7151972108531,24.52279269830207,24.0
