seed,model,Survival IBS,Mean cause IBS,TWF Brier at 24h,HDF Brier at 24h,PWF Brier at 24h,OSF Brier at 24h,RNF Brier at 24h
42,Single-event discrete,0.15597736699182768,0.06469289004815452,0.24590897824743355,0.10994228002502414,0.0795070435504982,0.12826230547503054,0.031200419319345883
42,Competing-risk discrete,0.15496300264561821,0.061689661470245225,0.22423001676135346,0.09711049238896584,0.07688369113922167,0.12549251459800537,0.031169967037109267
42,Single-event Cox,0.15644615770799708,0.06471057330950308,0.24739432046598972,0.10965898782897235,0.07937915834045421,0.1280627068277454,0.031197947636987307
42,Cause-specific Cox,0.15545226469997278,0.061756834859975525,0.22522150845483913,0.09700765360389443,0.07695323616226202,0.12563111458389928,0.031137486606363864
42,Same survival + pooled causes,0.15496300264561821,0.06467451377355259,0.24576132214242946,0.10997818222216262,0.07941000806306345,0.1281871139979357,0.03117872499880901
43,Single-event discrete,0.1541022583621868,0.060685679800885524,0.23504410478395787,0.09906154457086597,0.07521066641022812,0.1317853622721457,0.029495582255853445
43,Competing-risk discrete,0.15349204448051437,0.05743434743795111,0.21779824369888667,0.08673030319749837,0.07346783085264666,0.12510243388248188,0.029103927175094624
43,Single-event Cox,0.1540024395396714,0.06067675791922248,0.23730538014298028,0.09852802184255494,0.07497630776808524,0.13136421649442187,0.029501028703641907
43,Cause-specific Cox,0.15321825761433303,0.05740677348687835,0.21784341354470432,0.08651138689209817,0.0734195965894278,0.12523523644435433,0.029105329793258673
43,Same survival + pooled causes,0.15349204448051437,0.060680053930092216,0.23484108680733184,0.09919381568796064,0.07520380373617341,0.13158244111726486,0.02950874758492782
44,Single-event discrete,0.1523972291793788,0.06289333826578894,0.23790785773806888,0.10261818088575382,0.07771392433962342,0.1378826263583561,0.029184969077511617
44,Competing-risk discrete,0.15241834354186148,0.06056814208229261,0.21839119194306172,0.09323411336500619,0.07681280049082599,0.13319571885324455,0.02938642636893998
44,Single-event Cox,0.1528968981654355,0.06291233524317172,0.23877578461720292,0.10242778691413922,0.07755627093474049,0.1378674879606114,0.02917377795944467
44,Cause-specific Cox,0.15305554828371443,0.06059047339769358,0.2179669166754237,0.09322232279668517,0.07668766096480772,0.13333867307280575,0.02934244428709674
44,Same survival + pooled causes,0.15241834354186148,0.06292150520607222,0.2368658018110823,0.10309977300572086,0.07762044138207533,0.1379372833596076,0.02919831759061338
